11.05 01.32.04  INFO	ru.sfedu.Job:10 - ghhhhh
11.05 01.37.34  INFO	ru.sfedu.Job:9 - ghhhhh
11.05 01.40.59  INFO	ru.sfedu.Job:9 - ghhhhh
11.05 01.41.46  INFO	ru.sfedu.Job:9 - ghhhhh
11.05 01.45.00  INFO	ru.sfedu.Job:9 - ghhhhh
11.05 01.45.22  INFO	ru.sfedu.Job:12 - a
11.05 01.45.28  INFO	ru.sfedu.Job:12 - q
11.05 01.45.36  INFO	ru.sfedu.Job:12 - a
11.05 17.12.54  INFO	ru.sfedu.Job:12 - a
11.05 17.13.03  INFO	ru.sfedu.Job:12 - a
11.10 22.40.08  INFO	ru.sfedu.dataProvider.DataProviderCSV:35 - Profile{userId='penatibus', name='Nisse', lastName='Oliffe', birthday=11.02.2002, city='Vergara', rating=90, employer=true}
11.10 22.40.08  INFO	ru.sfedu.dataProvider.DataProviderCSV:35 - Profile{userId='hhh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 22.40.08  INFO	ru.sfedu.dataProvider.DataProviderCSV:35 - Profile{userId='hhh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 22.40.08  INFO	ru.sfedu.dataProvider.DataProviderCSV:35 - Profile{userId='hhghmjh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 22.51.23 ERROR	ru.sfedu.Job:98 - Profile{userId='penatibus', name='Nisse', lastName='Oliffe}
11.10 22.56.17 ERROR	ru.sfedu.dataProvider.DataProviderCSV:37 - Profile{userId='penatibus', name='Nisse', lastName='Oliffe}
11.10 23.13.42  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='penatibus', name='Nisse', lastName='Oliffe', birthday=11.02.2002, city='Vergara', rating=90, employer=true}
11.10 23.13.42  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='hhh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 23.13.42  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='hhh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 23.13.42  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='hhghmjh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 23.14.19  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='penatibus', name='Nisse', lastName='Oliffe', birthday=11.02.2002, city='Vergara', rating=90, employer=true}
11.10 23.14.19  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='hhh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 23.14.19  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='hhh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 23.14.19  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='hhghmjh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
11.10 23.15.46  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='penatibus', name='Nisse', lastName='Oliffe', birthday=11.02.2002, city='Vergara', rating=90, employer=true}
11.10 23.15.46  INFO	ru.sfedu.dataProvider.DataProviderCSV:32 - Profile{userId='hhh', name='vghj', lastName='cvbn', birthday=vbjk, city='vbjk', rating=20, employer=true}
